check_id,real_root_id,extension_degree_id,extension_beta_c1,extension_beta_c2,extension_beta_c3,pairing,serre_exponent,terminal_beta_c1,terminal_beta_c2,terminal_beta_c3,terminal_gamma_n,terminal_gamma_l,terminal_gamma_m,terminal_height,terminal_norm,terminal_signed_dimension,terminal_in_base,relation_payload_status,proof_reference,check_status,notes
dlrsse_delta_3_beta_0_10_9,delta_3,beta_0_10_9,0,10,9,-2,3,0,10,12,0,-2,10,22,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_0_9_10,delta_2,beta_0_9_10,0,9,10,-2,3,0,12,10,0,2,12,22,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_1_6_8,delta_2,beta_1_6_8,1,6,8,-6,7,1,13,8,1,6,13,22,-32,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_3_beta_10_0_9,delta_3,beta_10_0_9,10,0,9,-2,3,10,0,12,10,-2,0,22,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_9_0_10,delta_1,beta_9_0_10,9,0,10,-2,3,12,0,10,12,2,0,22,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_6_1_8,delta_1,beta_6_1_8,6,1,8,-6,7,13,1,8,13,6,1,22,-32,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_1_8_9,delta_2,beta_1_8_9,1,8,9,-4,5,1,13,9,1,5,13,23,-54,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_8_1_9,delta_1,beta_8_1_9,8,1,9,-4,5,13,1,9,13,5,1,23,-54,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_3_beta_0_11_10,delta_3,beta_0_11_10,0,11,10,-2,3,0,11,13,0,-2,11,24,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_1_7_9,delta_2,beta_1_7_9,1,7,9,-6,7,1,14,9,1,6,14,24,-40,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_3_beta_11_0_10,delta_3,beta_11_0_10,11,0,10,-2,3,11,0,13,11,-2,0,24,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_7_1_9,delta_1,beta_7_1_9,7,1,9,-6,7,14,1,9,14,6,1,24,-40,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_1_8_10,delta_2,beta_1_8_10,1,8,10,-6,7,1,15,10,1,6,15,26,-48,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_8_1_10,delta_1,beta_8_1_10,8,1,10,-6,7,15,1,10,15,6,1,26,-48,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_1_7_10,delta_2,beta_1_7_10,1,7,10,-8,9,1,16,10,1,7,16,27,-30,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_7_1_10,delta_1,beta_7_1_10,7,1,10,-8,9,16,1,10,16,7,1,27,-30,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_1_8_11,delta_2,beta_1_8_11,1,8,11,-8,9,1,17,11,1,7,17,29,-38,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_8_1_11,delta_1,beta_8_1_11,8,1,11,-8,9,17,1,11,17,7,1,29,-38,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_1_8_12,delta_2,beta_1_8_12,1,8,12,-10,11,1,19,12,1,8,19,32,-24,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_8_1_12,delta_1,beta_8_1_12,8,1,12,-10,11,19,1,12,19,8,1,32,-24,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_5_1_7,delta_2,beta_5_1_7,5,1,7,-22,23,5,24,7,5,22,24,36,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_1_5_7,delta_1,beta_1_5_7,1,5,7,-22,23,24,5,7,24,22,5,36,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_6_1_7,delta_2,beta_6_1_7,6,1,7,-24,25,6,26,7,6,25,26,39,2,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_1_6_7,delta_1,beta_1_6_7,1,6,7,-24,25,26,6,7,26,25,6,39,2,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_6_0_7,delta_2,beta_6_0_7,6,0,7,-26,27,6,27,7,6,26,27,40,56,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_0_6_7,delta_1,beta_0_6_7,0,6,7,-26,27,27,6,7,27,26,6,40,56,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_6_1_8,delta_2,beta_6_1_8,6,1,8,-26,27,6,28,8,6,26,28,42,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_7_1_7,delta_2,beta_7_1_7,7,1,7,-26,27,7,28,7,7,28,28,42,0,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_1_6_8,delta_1,beta_1_6_8,1,6,8,-26,27,28,6,8,28,26,6,42,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
